dato1,dato2,dato3,Salida
-0.307617,-0.518555,0.892578,0.0
-0.300293,-0.317383,0.849609,0.0
-0.296875,-0.49707,0.800293,0.0
-0.279297,-0.265137,0.879395,0.0
-0.287109,-0.266113,0.925293,0.0
-0.280273,-0.319336,0.914551,0.0
-0.391113,-0.49707,1.129883,0.0
-0.210449,-0.418457,0.788574,0.0
-0.235352,-0.430664,0.881836,0.0
-0.269531,-0.495117,0.853516,0.0
-0.27002,-0.48584,0.838379,0.0
-0.175781,-0.32373,0.861328,0.0
-0.187988,-0.30957,0.97998,0.0
-0.192871,-0.355469,0.88916,0.0
-0.145996,-0.327148,0.912598,0.0
-0.072754,-0.291016,0.960449,0.0
-0.109863,-0.243164,1.05127,0.0
-0.192871,-0.275391,1.110352,0.0
-0.266113,-0.394531,1.011719,0.0
-0.242676,-0.381348,0.696777,0.0
-0.306152,-0.453125,0.749023,0.0
-0.234863,-0.351562,0.79541,0.0
-0.202148,-0.325684,0.895996,0.0
-0.171387,-0.510254,1.023438,0.0
-0.278809,-0.727539,1.119629,0.0
-0.12207,-0.493652,0.730469,0.0
-0.162598,-0.629395,0.898438,0.0
-0.287109,-0.460449,0.833984,0.0
-0.137207,-0.538574,0.758789,0.0
-0.108398,-0.368652,0.717285,0.0
-0.167969,-0.353516,0.875977,0.0
-0.497559,-0.672852,1.271484,0.0
-0.334473,-0.462402,0.777344,0.0
-0.396973,-0.215332,0.634277,0.0
-0.500977,-0.233398,0.208496,0.0
-1.023438,-0.470703,0.104492,0.0
-1.571289,-0.896973,-0.069336,0.0
-1.328125,-0.745117,-0.075195,0.0
-0.678711,-0.270508,0.29248,0.0
-0.864258,-1.10498,0.128418,0.0
-1.090332,-0.49707,0.23584,0.0
-1.135742,-0.511719,0.185547,0.0
-0.950684,-0.413574,0.095215,0.0
-0.778809,-0.380371,0.095703,0.0
-0.435059,-0.308594,0.123047,0.0
-0.949219,-0.5,0.077637,0.0
-0.848144,-0.449707,0.215332,0.0
-1.064941,-0.575195,0.185547,0.0
-0.993164,-0.5625,0.262207,0.0
-0.983887,-0.682617,0.333496,0.0
-0.840332,-0.694824,0.349609,0.0
-1.175781,-0.711426,0.251465,0.0
-1.071289,-0.386719,0.119629,0.0
-1.07959,-0.551758,0.067871,0.0
